recno,GaiaEDR3,RA_ICRS,DE_ICRS,Gmag,e_Gmag,plx,e_plx,Bp-Rp,e_Bp-Rp,pmRA,e_pmRA,pmDE,e_pmDE,_RA_icrs,_DE_icrs
319,65212691775922048,56.8258,24.0362,13.5677,0.0024,7.34,0.08,1.8632,0.0028,22.03,0.09,-44.74,0.08,56.8257,24.0364
413,65212691773969280,56.8255,24.0364,14.6736,0.0012,7.27,0.07,,,21.44,0.13,-44.73,0.12,56.8254,24.0366
493,65212760495396736,56.8557,24.049,15.3902,9.0E-4,7.38,0.04,2.4971,0.042,18.36,0.05,-45.83,0.03,56.8556,24.0492
490,65212932294091264,56.7884,24.052,15.381,0.001,7.3,0.04,2.5782,0.0445,19.44,0.05,-43.83,0.05,56.7883,24.0522
914,65213172812266752,56.7428,24.028,17.1448,0.0012,7.45,0.1,3.1639,0.103,19.21,0.12,-43.36,0.08,56.7427,24.0282
631,65213172812266240,56.7472,24.0284,16.139,0.0012,7.11,0.06,3.0877,0.0836,19.23,0.08,-43.91,0.06,56.7471,24.0286
318,65214409762926720,56.454,23.8527,13.5667,6.0E-4,7.46,0.02,1.78,0.0201,21.19,0.02,-45.39,0.01,56.4539,23.8529
279,65214856439472640,56.4604,23.8738,13.1341,0.001,7.21,0.01,1.6774,0.0085,19.88,0.02,-44.65,0.01,56.4603,23.874
1122,65215058301202816,56.4455,23.8833,18.0355,0.0021,7.46,0.17,3.0619,0.1037,20.74,0.17,-46.27,0.12,56.4454,23.8835
1251,65215887229784320,56.422,23.9026,19.7154,0.0041,7.55,0.5,3.1435,0.1755,19.55,0.55,-46.51,0.43,56.4219,23.9028
995,65216363971331072,56.4125,23.9501,17.4208,0.0014,7.63,0.1,3.1693,0.0843,19.58,0.11,-46.71,0.08,56.4124,23.9503
557,65216643145862144,56.518,23.9278,15.7324,9.0E-4,7.01,0.05,2.7162,0.0414,18.58,0.05,-43.37,0.04,56.5179,23.928
1149,65217222966811264,56.5773,23.9839,18.1875,0.0024,7.59,0.22,2.9879,0.0739,19.04,0.23,-43.88,0.19,56.5772,23.9841
1160,65217326044027392,56.5253,23.9718,18.2997,0.0019,7.8,0.2,2.5998,0.0953,19.12,0.21,-45.66,0.15,56.5252,23.972
1147,65217605216685568,56.456,23.9515,18.1792,0.0016,7.72,0.19,3.1556,0.0973,20.44,0.2,-47.82,0.14,56.4559,23.9517
1243,65220143544571520,56.2895,23.979,19.491,0.0036,7.23,0.33,2.8837,0.1128,19.87,0.36,-44.11,0.25,56.2894,23.9792
32,65221487868870784,56.4652,24.0387,7.8336,4.0E-4,7.3,0.03,0.2658,3.0E-4,19.81,0.04,-45.0,0.03,56.4651,24.0389
1135,65221586651685248,56.4905,24.0512,18.1212,0.0016,7.15,0.19,3.086,0.0851,18.22,0.2,-44.8,0.14,56.4904,24.0514
1214,65222484301820800,56.4264,24.0696,18.8872,0.0024,7.46,0.27,3.2648,0.1748,18.62,0.34,-45.33,0.2,56.4263,24.0698
332,65222518661019520,56.4337,24.0739,13.6911,0.0015,7.33,0.02,1.8298,0.0129,19.95,0.02,-43.35,0.02,56.4336,24.0741
95,65222759179728640,56.3976,24.083,9.9846,6.0E-4,7.3,0.02,0.8261,9.0E-4,18.43,0.02,-45.21,0.02,56.3975,24.0832
847,65223515093523328,56.5979,24.0307,16.8941,0.0013,7.37,0.09,3.0726,0.0801,19.23,0.09,-44.21,0.08,56.5978,24.0309
904,65223583812996864,56.6481,24.0263,17.1061,0.0023,7.5,0.18,3.2614,0.0935,19.07,0.19,-45.64,0.15,56.648,24.0265
207,65223618172733952,56.6642,24.0295,11.9571,7.0E-4,7.32,0.01,1.2012,0.0034,20.27,0.02,-46.23,0.01,56.6641,24.0297
324,65224442806459008,56.5537,24.0542,13.6037,0.002,7.33,0.02,1.8112,0.0067,22.07,0.02,-46.13,0.02,56.5536,24.0544
1241,65224889481112832,56.6088,24.0858,19.425,0.0056,7.57,0.63,3.52,0.1327,20.7,0.66,-44.85,0.51,56.6087,24.086
1009,65225469302220800,56.7144,24.1043,17.4696,0.0018,7.42,0.14,3.2574,0.0972,21.45,0.18,-45.22,0.12,56.7143,24.1045
65,65225611037551360,56.664,24.103,9.1995,2.0E-4,7.36,0.02,0.6226,0.0016,20.53,0.02,-46.94,0.02,56.6639,24.1032
964,65226092073881856,56.7249,24.1324,17.3031,0.0013,7.12,0.11,2.8261,0.0636,19.31,0.14,-44.32,0.09,56.7248,24.1326
316,65226401312036864,56.63,24.1171,13.5407,0.002,7.39,0.14,1.8473,0.0088,18.38,0.16,-45.25,0.12,56.6299,24.1173
1107,65228772133391488,56.4914,24.1445,17.9169,0.0014,7.56,0.14,3.3296,0.1178,20.64,0.16,-47.5,0.11,56.4913,24.1447
958,65229184450247296,56.5191,24.1654,17.2912,0.001,7.5,0.1,3.2111,0.141,18.94,0.12,-44.62,0.08,56.519,24.1656
422,65229734206151680,56.6059,24.1599,14.7815,9.0E-4,7.19,0.07,2.5504,0.0462,16.92,0.09,-48.01,0.07,56.6058,24.1601
42,65230764996027776,56.5668,24.1897,8.2287,6.0E-4,7.4,0.03,0.4441,0.0,19.61,0.04,-43.76,0.03,56.5667,24.1899
72,65230764998207232,56.5668,24.1894,9.4089,0.0021,7.4,0.04,0.4033,2.0E-4,20.76,0.05,-50.03,0.03,56.5667,24.1896
24,65231486552803328,56.6138,24.2548,7.3528,4.0E-4,7.35,0.03,0.1344,3.0E-4,20.45,0.04,-44.65,0.03,56.6137,24.255
1098,65232066371441792,55.9156,23.6922,17.854,0.0017,7.24,0.14,3.3115,0.1537,19.97,0.19,-45.53,0.13,55.9155,23.6924
130,65232105028172160,55.8832,23.6739,10.6411,7.0E-4,7.43,0.05,0.8891,0.001,19.92,0.07,-45.32,0.05,55.8831,23.6741
693,65232757863112192,55.9127,23.7346,16.3853,0.0013,7.39,0.08,3.1662,0.0936,20.47,0.1,-45.17,0.07,55.9126,23.7348
163,65233788655261568,55.8935,23.7617,11.2019,0.0014,7.27,0.03,1.0578,9.0E-4,22.97,0.04,-47.12,0.03,55.8934,23.7619
689,65237911823760640,55.8193,23.8336,16.365,0.0033,7.27,0.07,2.9644,0.046,20.11,0.09,-45.42,0.06,55.8192,23.8338
1232,65239522434899840,55.8542,23.8669,19.2768,0.0032,7.35,0.39,3.3845,0.1682,19.59,0.49,-44.38,0.36,55.8541,23.8671
382,65241313435901568,56.1334,23.8748,14.3292,0.001,7.37,0.04,2.189,0.002,19.58,0.05,-45.42,0.04,56.1333,23.875
389,65241313437941504,56.1332,23.8752,14.4165,0.0015,7.36,0.04,2.4777,0.0037,19.61,0.05,-46.53,0.04,56.1331,23.8754
729,65241863193865856,56.0507,23.8769,16.5229,9.0E-4,7.42,0.06,2.9921,0.1133,19.99,0.07,-45.11,0.06,56.0506,23.8771
79,65242069352190976,55.9951,23.8825,9.5397,2.0E-4,7.33,0.06,0.7352,0.003,19.88,0.06,-44.69,0.05,55.995,23.8827
1159,65242271214003456,56.0821,23.8959,18.2969,0.0084,7.84,0.39,3.7333,0.1064,20.58,0.44,-45.06,0.32,56.082,23.8961
1096,65244435877629824,56.1164,23.9998,17.8474,0.0016,7.23,0.14,3.2905,0.1204,19.09,0.14,-45.1,0.11,56.1163,24.0
629,65244646332548352,56.1973,24.0103,16.1306,0.0011,7.65,0.06,2.7916,0.0755,21.9,0.06,-46.78,0.05,56.1972,24.0105
331,65244749411766528,56.1476,24.0011,13.6797,5.0E-4,7.33,0.02,1.8219,0.0254,21.42,0.02,-45.87,0.02,56.1475,24.0013
661,65245539685760640,55.9876,23.9514,16.2853,0.0012,7.4,0.06,2.9555,0.0725,20.85,0.06,-45.58,0.05,55.9875,23.9516
157,65247704349267584,56.0545,24.0306,11.1672,0.001,7.59,0.02,1.0097,0.0015,21.4,0.02,-45.89,0.02,56.0544,24.0308
200,65248460263511552,56.0532,24.0316,11.8598,0.0036,7.36,0.13,1.2781,7.0E-4,20.15,0.13,-45.15,0.11,56.0531,24.0318
282,65248151025861120,56.0962,24.0681,13.1688,0.0014,7.44,0.04,1.7458,0.0058,21.77,0.03,-47.34,0.02,56.0961,24.0683
151,65249250537488128,56.0613,24.1014,11.0563,0.0013,6.91,0.05,1.2912,1.0E-4,18.74,0.06,-41.03,0.04,56.0612,24.1016
144,65249250535404928,56.0611,24.1019,10.878,7.0E-4,7.14,0.02,1.2813,3.0E-4,20.71,0.02,-43.44,0.01,56.061,24.1021
983,65254576296865152,55.6853,23.9708,17.3788,0.0016,7.3,0.09,3.1482,0.1219,19.71,0.12,-45.07,0.08,55.6852,23.971
427,65254851174771584,55.6677,23.9892,14.8153,0.001,7.35,0.04,2.4971,0.0465,18.06,0.05,-45.48,0.03,55.6676,23.9894
755,65254885534508672,55.6744,24.0042,16.5829,0.0011,7.36,0.06,2.9096,0.1025,19.45,0.08,-46.51,0.05,55.6743,24.0044
919,65257187636977536,55.6716,24.0284,17.1684,0.0016,7.17,0.09,3.2553,0.1176,21.02,0.11,-44.68,0.08,55.6715,24.0286
1002,65263097511969792,55.7986,24.1144,17.4513,0.0014,7.29,0.11,3.3752,0.1297,20.26,0.13,-45.77,0.09,55.7985,24.1146
981,65263612908043392,55.8698,24.1516,17.3772,0.0012,7.6,0.1,3.2572,0.1206,20.97,0.1,-45.98,0.08,55.8697,24.1518
1001,65264506261240448,55.838,24.1857,17.445,0.0011,7.54,0.1,3.1229,0.1507,19.33,0.1,-45.38,0.07,55.8379,24.1859
1109,65264673762670080,55.8061,24.1835,17.9254,0.0013,7.84,0.13,3.2962,0.1608,20.25,0.13,-45.9,0.1,55.806,24.1837
1079,65265674492422784,55.9314,24.2138,17.7579,0.0013,7.43,0.13,3.2676,0.1335,20.93,0.14,-45.14,0.1,55.9313,24.214
371,65266494828710400,55.903,24.2321,14.1789,0.0024,7.31,0.08,2.0962,0.0059,20.33,0.09,-46.51,0.07,55.9029,24.2323
391,65266499126062080,55.9024,24.2321,14.4374,0.0023,7.7,0.11,,,19.57,0.12,-42.11,0.09,55.9023,24.2323
553,65267078945207296,56.239,23.9922,15.7175,7.0E-4,7.51,0.04,2.711,0.0808,20.61,0.05,-44.77,0.04,56.2389,23.9924
909,65267388182879104,56.2218,24.0183,17.134,0.0011,7.57,0.1,2.9776,0.0709,20.62,0.11,-44.13,0.1,56.2217,24.0185
1152,65268075377736832,56.291,24.0756,18.249,0.002,7.85,0.22,2.9212,0.0701,20.14,0.21,-45.2,0.16,56.2909,24.0758
921,65269935099961600,56.4138,24.1389,17.1697,0.001,7.26,0.09,3.0797,0.1091,19.6,0.1,-45.79,0.07,56.4137,24.1391
472,65270450496044416,56.3173,24.121,15.1788,0.0011,7.53,0.04,2.4735,0.0386,19.87,0.04,-44.98,0.03,56.3172,24.1212
374,65272817023559040,56.0971,24.1324,14.2056,0.0013,7.25,0.04,1.3938,9.0E-4,20.33,0.04,-47.79,0.03,56.097,24.1326
708,65275020341243520,56.1994,24.2145,16.4603,0.0013,7.23,0.07,3.02,0.0629,19.3,0.08,-44.73,0.06,56.1993,24.2147
161,65275089060719104,56.1834,24.231,11.1935,0.001,7.47,0.03,1.0079,0.0018,21.47,0.03,-46.45,0.02,56.1833,24.2312
117,65276703968959488,56.4352,24.2201,10.393,9.0E-4,7.56,0.02,0.9212,7.0E-4,20.57,0.02,-47.2,0.02,56.4351,24.2203
813,65277975278721408,56.4178,24.2889,16.7966,0.0011,7.48,0.08,2.6369,0.0378,21.8,0.11,-45.31,0.07,56.4177,24.2891
819,65279418387728896,56.464,24.2955,16.8102,0.0017,7.41,0.08,2.9922,0.0651,18.66,0.11,-44.19,0.07,56.4639,24.2957
979,65280036863012864,56.4879,24.3501,17.3746,0.0014,7.11,0.13,3.3147,0.0769,19.18,0.17,-43.78,0.1,56.4878,24.3503
935,65280552259109760,56.3048,24.2564,17.1974,0.0013,7.83,0.12,3.1227,0.1045,22.4,0.13,-46.54,0.09,56.3047,24.2566
273,65281166437426176,56.3873,24.303,12.9895,0.0033,7.52,0.02,1.5924,0.0024,20.26,0.02,-45.17,0.02,56.3872,24.3032
409,65281239453865856,56.376,24.3124,14.6073,0.0013,7.34,0.03,2.288,0.0181,18.95,0.03,-47.25,0.02,56.3759,24.3126
646,65282098447322752,56.3534,24.3458,16.2119,0.0011,6.98,0.06,2.8426,0.0528,19.67,0.07,-43.51,0.05,56.3533,24.346
505,65282716920396160,56.4082,24.3341,15.4462,0.0046,7.33,0.1,1.4796,0.0011,20.37,0.2,-46.55,0.11,56.4081,24.3343
1075,65283094877491200,56.4865,24.3687,17.7274,0.0022,7.31,0.14,2.6659,0.0521,20.47,0.2,-44.5,0.12,56.4864,24.3689
1,65283232316451328,56.4568,24.3675,3.8633,0.0027,7.67,0.31,-0.0138,0.0,19.52,0.45,-45.53,0.28,56.4567,24.3677
514,65284228751087872,56.4558,24.4185,15.5039,0.0011,7.26,0.05,2.644,0.0374,19.21,0.06,-42.78,0.04,56.4557,24.4187
1212,65284327535890176,56.3988,24.4094,18.8612,0.0031,7.69,0.29,2.9979,0.0621,21.14,0.38,-43.75,0.23,56.3987,24.4096
152,65284469269256704,56.4245,24.4313,11.0907,5.0E-4,7.37,0.02,1.0036,0.0029,20.51,0.03,-44.71,0.02,56.4244,24.4315
4,65287458566524928,56.201,24.2893,5.4413,9.0E-4,7.39,0.07,-0.0212,0.0,19.85,0.08,-44.97,0.06,56.2009,24.2895
677,65289004754691200,55.9887,24.2222,16.333,0.001,7.51,0.06,2.9795,0.1069,21.0,0.06,-44.78,0.05,55.9886,24.2224
717,65289279632598016,55.9657,24.2376,16.4799,0.0025,7.26,0.06,3.1174,0.0707,18.74,0.07,-45.78,0.05,55.9656,24.2378
153,65289279632597760,55.9614,24.2473,11.1088,7.0E-4,7.48,0.02,0.9991,0.0018,21.61,0.03,-44.8,0.02,55.9613,24.2475
470,65289588870240384,56.0414,24.2676,15.1752,9.0E-4,7.3,0.04,2.5291,0.0501,21.47,0.04,-43.34,0.03,56.0413,24.2678
165,65289623229979136,56.0203,24.2753,11.2091,0.0014,7.29,0.02,1.0528,0.001,20.13,0.02,-45.36,0.02,56.0202,24.2755
1216,65290718444385536,55.9699,24.3133,18.8993,0.0022,6.88,0.28,3.5999,0.1872,18.99,0.32,-45.31,0.19,55.9698,24.3135
443,65292268929825408,56.1121,24.4086,15.0118,0.0011,7.18,0.03,2.3948,0.063,20.2,0.04,-43.42,0.03,56.112,24.4088
496,65293368441513344,56.074,24.4462,15.395,0.0015,7.21,0.04,2.6235,0.057,20.17,0.05,-44.67,0.04,56.0739,24.4464
1210,65294429297360000,56.2863,24.4025,18.8457,0.003,7.63,0.29,2.8401,0.0849,20.2,0.38,-43.29,0.25,56.2862,24.4027
1136,65294807253267328,56.1923,24.384,18.1213,0.0018,7.3,0.18,3.1618,0.1274,19.56,0.21,-45.4,0.16,56.1922,24.3842
109,65295430026352512,56.2351,24.4324,10.275,7.0E-4,7.4,0.02,0.8319,9.0E-4,19.7,0.03,-46.14,0.02,56.235,24.4326
49,65296357738731008,56.3937,24.4631,8.55,3.0E-4,7.35,0.03,0.4981,0.0011,18.45,0.04,-46.1,0.02,56.3936,24.4633
728,65297251091930624,56.3333,24.4733,16.5195,0.001,7.34,0.08,3.0402,0.0829,20.59,0.1,-44.04,0.06,56.3332,24.4735
540,65297594689312768,56.3004,24.5049,15.6649,8.0E-4,7.82,0.05,2.7039,0.0407,21.22,0.07,-47.34,0.04,56.3003,24.5051
1083,65298208867376384,56.1575,24.4273,17.7707,0.0014,7.19,0.15,3.3193,0.0966,20.05,0.17,-43.73,0.12,56.1574,24.4275
788,65298483745290368,56.2255,24.4462,16.6878,0.0013,7.69,0.07,2.9234,0.0559,19.85,0.09,-46.02,0.07,56.2254,24.4464
670,65299381395665664,56.1107,24.4863,16.3081,0.0014,7.07,0.07,3.2111,0.088,20.99,0.08,-41.95,0.06,56.1106,24.4865
539,65299965511216384,56.1652,24.5288,15.6619,9.0E-4,7.42,0.04,2.7472,0.0558,19.99,0.06,-46.25,0.04,56.1651,24.529
1058,65304604076598784,59.1686,22.1461,17.6504,0.0012,7.32,0.11,3.4313,0.1327,19.02,0.13,-46.01,0.09,59.1685,22.1463
173,65309100904545280,59.0464,22.221,11.3199,4.0E-4,7.61,0.02,1.069,0.0047,21.68,0.03,-46.55,0.02,59.0463,22.2212
266,65330099002345216,59.0243,22.4393,12.8546,8.0E-4,7.75,0.02,1.5781,0.0091,20.37,0.02,-47.36,0.01,59.0242,22.4395
949,65349684053273600,59.6425,22.6696,17.2535,0.0012,7.39,0.11,3.3039,0.1379,19.17,0.14,-45.36,0.07,59.6424,22.6698
1215,65392801227714048,58.6312,22.6503,18.8891,0.0022,7.37,0.28,3.3675,0.1565,19.11,0.3,-45.05,0.18,58.6311,22.6505
882,65393698877913728,58.6017,22.6889,17.0431,9.0E-4,7.22,0.08,3.1978,0.1112,19.38,0.09,-45.08,0.06,58.6016,22.6891
506,65419434321982464,59.397,22.9854,15.4536,0.0012,7.43,0.04,2.6708,0.0701,18.61,0.05,-45.58,0.03,59.3969,22.9856
1040,65431185353051776,58.7307,22.9943,17.5819,0.0013,7.29,0.14,3.3476,0.1045,19.49,0.16,-44.63,0.09,58.7306,22.9945
480,65434518247043072,59.0434,23.0398,15.2665,6.0E-4,7.4,0.03,2.4824,0.0679,19.15,0.05,-44.76,0.02,59.0433,23.04
385,65435102362687616,59.1042,23.0906,14.358,5.0E-4,7.42,0.02,2.1179,0.0572,19.73,0.03,-46.27,0.02,59.1041,23.0908
45,65437644983224320,59.1173,23.1501,8.3014,3.0E-4,7.36,0.02,0.3686,5.0E-4,18.52,0.03,-45.74,0.02,59.1172,23.1503
582,65437644983223936,59.1194,23.1508,15.837,0.0015,7.29,0.06,2.5252,0.0165,18.39,0.07,-46.79,0.05,59.1193,23.151
998,65467778474649856,59.6292,23.0701,17.4316,0.0011,7.49,0.11,3.431,0.1832,17.93,0.13,-45.94,0.09,59.6291,23.0703
265,65471729844532864,59.8648,23.1236,12.8293,0.0013,7.4,0.02,1.5298,0.0045,19.57,0.02,-44.97,0.01,59.8647,23.1238
613,65506467539939584,60.109,23.438,16.0376,0.001,7.33,0.05,3.1085,0.079,17.79,0.07,-45.61,0.04,60.1089,23.4382
927,65544538129847936,59.3306,23.4603,17.1848,8.0E-4,7.14,0.09,3.1073,0.1342,18.18,0.1,-43.72,0.06,59.3305,23.4605
806,65552681387907200,59.8292,23.5232,16.7609,8.0E-4,7.49,0.07,3.0649,0.1251,19.11,0.1,-46.42,0.05,59.8291,23.5234
440,65553471661907328,59.734,23.4648,14.9858,6.0E-4,7.15,0.05,2.7053,0.0941,17.91,0.06,-44.78,0.03,59.7339,23.465
1170,65561099523771264,59.9854,23.6708,18.4223,0.0017,7.27,0.2,3.448,0.1352,17.38,0.27,-44.28,0.15,59.9853,23.671
980,65561473183104640,59.9965,23.6845,17.3767,0.0014,7.37,0.11,3.2325,0.1723,18.24,0.15,-44.88,0.08,59.9964,23.6847
406,65576011650237440,59.7377,23.7085,14.5667,0.0014,7.65,0.03,2.3082,0.0266,18.62,0.04,-47.12,0.02,59.7376,23.7087
277,65588484235454592,58.269,22.8012,13.1009,7.0E-4,7.29,0.01,1.5995,0.0095,19.04,0.02,-45.56,0.01,58.2689,22.8014
518,65589137070475264,58.3155,22.8705,15.5321,6.0E-4,7.73,0.04,2.6986,0.0921,19.5,0.05,-47.3,0.03,58.3154,22.8707
747,65603946117575936,58.2568,22.9799,16.5645,0.0011,7.42,0.07,3.0563,0.1351,18.68,0.08,-45.23,0.05,58.2567,22.9801
497,65605354866829184,58.2924,23.0528,15.3957,7.0E-4,7.34,0.04,2.5859,0.0587,19.74,0.04,-46.54,0.03,58.2923,23.053
757,65626623544976768,58.6557,23.2256,16.5857,0.0019,7.14,0.07,3.0511,0.085,19.01,0.09,-43.62,0.05,58.6556,23.2258
599,65635522717170944,58.8788,23.3973,15.9757,0.001,7.35,0.05,2.7696,0.1202,18.06,0.06,-44.04,0.04,58.8787,23.3975
1142,65641634452663296,58.5047,23.3279,18.159,0.0015,6.98,0.17,3.6114,0.1581,18.08,0.23,-42.81,0.13,58.5046,23.3281
317,65641913628380288,58.4887,23.3451,13.5493,7.0E-4,7.42,0.02,1.8429,0.0175,20.24,0.03,-44.27,0.02,58.4886,23.3453
508,65643184938861312,58.5543,23.3473,15.4598,7.0E-4,7.59,0.04,2.6172,0.0782,19.43,0.05,-46.79,0.03,58.5542,23.3475
1258,65662765692400384,57.997,23.2881,19.8993,0.0035,7.46,0.69,2.9407,0.1714,16.91,0.8,-43.98,0.48,57.9969,23.2883
618,65671634801986048,57.8312,23.1636,16.0711,0.001,7.28,0.05,2.8687,0.1077,18.82,0.06,-43.44,0.04,57.8311,23.1638
368,65673593307063552,57.816,23.2821,14.1107,0.0011,7.39,0.02,2.0543,0.0173,20.27,0.02,-45.2,0.01,57.8159,23.2823
500,65674383581036800,57.9632,23.2946,15.411,8.0E-4,7.36,0.03,2.6312,0.0815,18.72,0.04,-46.03,0.02,57.9631,23.2948
222,65677372878285312,57.7144,23.3289,12.1945,4.0E-4,7.33,0.02,1.2623,0.0089,18.89,0.02,-46.33,0.01,57.7143,23.3291
1155,65677506019076224,57.6795,23.332,18.2797,0.0013,7.27,0.17,3.3798,0.1705,19.15,0.2,-45.52,0.13,57.6794,23.3322
257,65680499614460800,57.989,23.3392,12.7132,0.001,7.48,0.01,1.4653,0.0057,20.84,0.02,-46.48,0.01,57.9889,23.3394
1269,65685065162835840,57.9373,23.4441,20.3997,0.0048,7.6,0.84,2.2611,0.1687,20.47,1.03,-46.67,0.57,57.9372,23.4443
1045,65688539793220480,57.9649,23.5802,17.5954,9.0E-4,7.33,0.11,3.2382,0.1613,20.05,0.15,-47.21,0.08,57.9648,23.5804
364,65690498298435840,58.3535,23.404,14.0732,6.0E-4,7.54,0.05,2.3251,0.0444,20.97,0.07,-46.79,0.04,58.3534,23.4042
1163,65697267166874240,58.2902,23.5631,18.3404,0.0015,7.78,0.18,3.5662,0.1548,19.81,0.22,-47.12,0.15,58.2901,23.5633
922,65699569269925888,58.5114,23.5835,17.1711,0.001,7.41,0.11,3.2016,0.1515,18.72,0.13,-46.11,0.09,58.5113,23.5837
713,65701527774387840,58.5937,23.6365,16.4734,8.0E-4,7.41,0.06,2.9706,0.13,18.37,0.07,-45.98,0.05,58.5936,23.6367
1139,65707673870040832,58.2159,23.5632,18.1374,0.0016,7.86,0.18,3.5025,0.1532,20.34,0.24,-47.41,0.13,58.2158,23.5634
315,65712488530853120,58.0939,23.6447,13.5233,0.0011,7.84,0.02,1.8281,0.0105,20.35,0.02,-48.34,0.01,58.0938,23.6449
648,65717814290369920,58.4483,23.7417,16.2196,8.0E-4,7.73,0.07,2.9411,0.104,19.26,0.07,-47.79,0.05,58.4482,23.7419
1121,65719463557799424,58.4502,23.8192,18.0192,0.0013,7.86,0.18,3.5919,0.1568,20.06,0.18,-46.89,0.13,58.4501,23.8194
716,65720734868130816,58.3506,23.7994,16.4788,0.0014,7.31,0.06,2.9821,0.1058,20.13,0.07,-44.91,0.05,58.3505,23.7996
227,65732447241199744,58.9836,23.5671,12.2591,0.0014,7.49,0.02,1.3021,0.0026,19.14,0.02,-46.08,0.01,58.9835,23.5673
311,65750627840192256,58.8709,23.7722,13.4943,0.0013,7.25,0.02,1.735,0.0095,17.76,0.02,-44.95,0.01,58.8708,23.7724
360,65768151306811904,59.4004,23.931,14.0062,0.001,7.17,0.02,1.9805,0.0195,17.88,0.03,-44.07,0.02,59.4003,23.9312
931,65772789871345024,59.5083,23.8983,17.1907,0.001,7.49,0.09,3.2179,0.1382,19.0,0.11,-47.27,0.06,59.5082,23.8985
703,65775195052996608,59.6048,24.0161,16.4372,0.0011,7.48,0.08,3.0068,0.098,19.66,0.09,-45.63,0.05,59.6047,24.0163
21,65776736943479808,59.5872,24.0809,7.1976,3.0E-4,7.02,0.04,0.0339,2.0E-4,18.17,0.05,-43.16,0.03,59.5871,24.0811
766,65779971056668032,59.3878,23.9463,16.605,8.0E-4,7.76,0.07,3.0123,0.1377,19.65,0.09,-48.1,0.05,59.3877,23.9465
234,65781345446197504,59.3203,24.009,12.3571,0.0015,7.6,0.02,1.353,0.0027,19.19,0.02,-46.89,0.01,59.3202,24.0092
417,65783029073414144,59.0775,23.9642,14.732,7.0E-4,7.44,0.03,2.3377,0.0573,18.99,0.04,-46.59,0.02,59.0774,23.9644
197,65787289680918528,59.3889,24.053,11.8225,6.0E-4,7.28,0.02,1.1357,0.0051,18.76,0.02,-45.31,0.01,59.3888,24.0532
248,65800930496992512,58.6166,23.8352,12.5198,0.0013,7.62,0.01,1.6999,0.0033,19.62,0.02,-47.44,0.01,58.6165,23.8354
1132,65801205374896128,58.6,23.8662,18.0896,0.0015,7.75,0.2,3.3269,0.1204,18.98,0.22,-47.25,0.15,58.5999,23.8664
951,65807218329068544,58.8934,23.9744,17.2578,0.001,7.1,0.09,3.1803,0.1762,18.51,0.11,-43.29,0.07,58.8933,23.9746
1120,65814979333012352,58.6172,23.9432,18.0082,0.0018,7.35,0.17,3.4443,0.17,19.16,0.2,-45.28,0.14,58.6171,23.9434
82,65819965792011904,58.59,24.0755,9.5971,3.0E-4,7.39,0.02,0.6966,0.0012,19.33,0.02,-45.65,0.01,58.5899,24.0757
535,65823676643738368,58.7875,24.0839,15.6466,9.0E-4,7.32,0.04,2.7175,0.0766,18.34,0.05,-45.32,0.03,58.7874,24.0841
737,65830548591559936,59.1205,24.0316,16.5381,0.001,7.35,0.06,2.9411,0.1158,20.14,0.08,-46.43,0.05,59.1204,24.0318
372,65844361206181376,59.1081,24.2808,14.184,9.0E-4,7.19,0.02,2.0518,0.024,18.27,0.03,-45.34,0.02,59.108,24.281
230,65864427293364864,58.9934,24.5497,12.3076,0.0015,7.5,0.02,1.3282,0.0023,18.61,0.02,-46.93,0.01,58.9933,24.5499
566,65864427293364992,58.9924,24.5498,15.7758,0.0014,7.5,0.06,2.5118,0.0185,19.6,0.07,-47.05,0.05,58.9923,24.55
1193,65937712317870592,60.2106,23.7313,18.6094,0.0017,7.14,0.28,4.0514,0.1796,17.86,0.27,-43.5,0.16,60.2105,23.7315
580,65945997312877952,60.3004,23.9035,15.8302,6.0E-4,7.21,0.05,3.0459,0.1406,17.88,0.05,-44.83,0.03,60.3003,23.9037
885,65963348980559616,60.0376,24.0569,17.0456,8.0E-4,7.77,0.09,3.0739,0.1335,19.04,0.09,-48.46,0.06,60.0375,24.0571
963,66111886130402944,61.1903,24.6884,17.2985,0.0014,7.36,0.12,,,16.0,0.14,-46.12,0.1,61.1902,24.6886
685,66167205308371328,59.7352,24.3088,16.3566,0.0012,7.56,0.07,2.9824,0.0815,19.87,0.08,-46.53,0.05,59.7351,24.309
1048,66167411464494848,59.7348,24.3088,17.601,0.0024,7.34,0.12,,,19.82,0.14,-44.95,0.12,59.7347,24.309
1205,66223585341377152,59.4123,24.462,18.7787,0.002,7.01,0.25,3.5483,0.1441,18.65,0.27,-44.74,0.18,59.4122,24.4622
1272,66249771756640512,59.2965,24.8336,,,7.64,0.44,,,18.85,0.53,-44.86,0.37,59.2964,24.8338
487,66280248847432192,59.7764,25.0554,15.3469,8.0E-4,7.57,0.04,2.7315,0.0786,18.17,0.06,-47.27,0.03,59.7763,25.0556
681,66289044940711168,60.4828,24.7339,16.3394,0.0012,7.21,0.07,3.0206,0.1071,18.82,0.08,-42.24,0.04,60.4827,24.7341
1246,66289044938594816,60.483,24.7333,19.5317,0.0035,7.15,0.55,,,18.63,0.53,-42.73,0.33,60.4829,24.7335
738,66429232674604544,57.614,23.379,16.5418,0.0012,7.23,0.07,3.0028,0.1003,19.84,0.08,-44.85,0.05,57.6139,23.3792
